"Name","year","category_name","Link","Pieces","Set","price_link","Times_Sold","Total_Qty","Min_Price","Avg_Price","Qty_Avg_Price","Max_Price"
"Gandalf Arrives","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9469-1",73," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9469-1&ColorID=0","28","31","GBP 23.15","GBP 77.49","GBP 75.08","GBP 125.54"
"Shelob Attacks","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9470-1",214," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9470-1&ColorID=0","23","49","GBP 30.75","GBP 89.68","GBP 86.52","GBP 145.58"
"Uruk-hai Army","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9471-1",229," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9471-1&ColorID=0","21","22","GBP 90.94","GBP 168.09","GBP 168.32","GBP 243.95"
"Attack on Weathertop","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9472-1",406," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9472-1&ColorID=0","20","21","GBP 21.20","GBP 175.12","GBP 167.79","GBP 301.65"
"The Mines of Moria","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9473-1",730," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9473-1&ColorID=0","16","17","GBP 215.79","GBP 245.24","GBP 244.41","GBP 280.65"
"The Battle of Helm's Deep","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9474-1",1332," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9474-1&ColorID=0","20","20","GBP 154.89","GBP 397.57","GBP 397.57","GBP 539.27"
"The Orc Forge","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9476-1",347," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9476-1&ColorID=0","21","21","GBP 155.19","GBP 177.45","GBP 177.45","GBP 270.12"
"Frodo with Cooking Corner polybag","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30210-1",29," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=30210-1&ColorID=0","55","103","GBP 2.10","GBP 14.39","GBP 12.03","GBP 28.40"
"Uruk-hai with Ballista polybag","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30211-1",16," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=30211-1&ColorID=0","36","67","GBP 13.00","GBP 19.40","GBP 18.97","GBP 28.02"
"Mirkwood Elf Guard polybag","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30212-1",22," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=30212-1&ColorID=0","32","97","GBP 18.41","GBP 26.13","GBP 22.92","GBP 58.00"
"Gandalf at Dol Guldur polybag","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30213-1",25," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=30213-1&ColorID=0","34","51","GBP 9.99","GBP 17.22","GBP 15.79","GBP 35.05"
"Riddles for The Ring","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79000-1",98," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79000-1&ColorID=0","22","30","GBP 17.70","GBP 45.72","GBP 43.66","GBP 66.93"
"Escape from Mirkwood Spiders","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79001-1",280," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79001-1&ColorID=0","22","25","GBP 27.17","GBP 62.83","GBP 62.96","GBP 116.13"
"Attack of the Wargs","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79002-1",378," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79002-1&ColorID=0","21","22","GBP 30.08","GBP 121.18","GBP 121.45","GBP 162.74"
"An Unexpected Gathering","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79003-1",623," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79003-1&ColorID=0","28","29","GBP 71.13","GBP 222.28","GBP 221.48","GBP 299.95"
"Barrel Escape","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79004-1",313," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79004-1&ColorID=0","10","11","GBP 31.50","GBP 106.74","GBP 110.91","GBP 208.79"
"The Goblin King Battle","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79010-1",799," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79010-1&ColorID=0","28","33","GBP 58.47","GBP 186.41","GBP 186.27","GBP 290.38"
